Source,Target,Weight
TL,SA,1574
TL,IN,882
TL,BO,709
TL,GA,795
TL,IT,999
TL,LR,2043
TL,GD,1021
TL,SL,2662
TL,PH,4380
TL,BT,1645
TL,KW,1450
TL,ME,700
TL,HK,3201
TL,HT,1296
TL,BJ,5808
TL,QA,2172
TL,GQ,2075
TL,CG,1216
TL,JP,1122
TL,KE,1201
TL,LA,1523
TL,NL,1401
TL,BF,735
TL,LC,711
TL,CH,1208
TL,NP,1194
TL,ET,2692
TL,SZ,839
TL,TG,1354
TL,CD,1203
TL,NE,1129
TL,BN,20007
TL,MV,3007
TL,NZ,6284
TL,CR,722
TL,PY,1347
TL,MT,794
TL,PG,16655
TL,GW,4943
TL,AG,979
TL,BD,2246
TL,EC,712
TL,TD,922
TL,GH,1602
TL,MZ,5609
TL,CO,695
TL,KH,3183
TL,ML,1180
TL,CF,1221
TL,PK,1953
TL,DJ,1443
TL,NG,761
TL,LU,1492
TL,IE,16080
TL,JM,1167
TL,SB,13676
TL,GM,1572
TL,CI,969
TL,AO,4796
TL,SG,7389
TL,DO,1363
TL,GY,2048
TL,BH,1786
TL,HN,1045
CR,BO,7918
CR,BR,2489
CR,AE,1371
CR,CM,1108
CR,BB,3217
CR,AL,768
CR,BF,743
CR,BE,2045
CR,CO,16501
CR,BJ,3217
CR,CL,8753
CR,CG,1102
CR,CD,732
CR,AR,8564
CR,AU,1407
CR,CH,6997
CR,BY,868
CR,AG,4562
CR,BG,806
CR,CF,706
CR,CA,5279
CR,BS,6092
CR,CI,1177
CR,AO,1667
CR,AT,2480
CR,BH,990
LU,FJ,882
LU,LK,1455
LU,IN,993
LU,BO,1544
LU,LB,11012
LU,GT,914
LU,BB,7820
LU,BR,6328
LU,BT,853
LU,LS,749
LU,KG,1152
LU,HK,5258
LU,JO,2084
LU,AG,3932
LU,BS,4171
LU,ES,21047
LU,LR,6611
LU,GQ,17919
ZM,GB,3676
ZM,MR,17862
MX,GW,712
ZM,MV,3102
ZM,LB,5681
ZM,AU,2762
ZM,PG,13483
ZM,NE,20998
ZM,LC,6594
MX,LC,820
ZM,MY,828
ZM,GM,21965
MX,GM,1264
ZM,KH,800
ZM,LU,1202
MX,LU,1043
ZM,RS,891
ZM,MU,6351
ZM,TO,8140
ZM,TR,1286
ZM,TL,1142
ZM,NL,1373
ZM,BS,6492
MX,BS,1383
ZM,CO,814
MX,CO,9419
ZM,DJ,9340
ZM,BZ,2436
MX,BZ,15222
ZM,IS,1006
MX,IS,779
ZM,IE,2119
MX,IE,1212
ZM,KM,16405
ZM,CY,10549
ZM,TJ,1281
ZM,PK,3004
ZM,SB,5029
ZM,MT,2737
MX,MT,907
ZM,AZ,1135
ZM,WS,2428
MX,AO,1368
ZM,AT,794
MX,AT,810
ZM,DO,7922
MX,DO,7859
ZM,GY,9084
MX,GY,1393
ZM,BH,3118
ZM,HN,1023
MX,HN,20724
ZM,SE,2064
ST,FJ,1535
ST,LK,791
ST,NI,3010
ST,BO,1790
ST,CY,976
ST,BS,4495
ST,MA,13552
ST,PH,1635
ST,ES,4906
ST,GT,1248
ST,QA,1617
ST,MU,1527
ST,GD,10435
ST,MW,21533
ST,FI,708
ST,FR,17533
ST,AG,13718
ST,RO,2963
ST,AE,1735
ST,SR,6744
ST,NO,1654
ST,LY,1556
ST,SA,1424
ST,PE,1219
ST,LS,17900
ST,EE,966
ST,DZ,1225
ST,IT,2063
ST,MX,991
ST,PY,4620
ST,DJ,4650
ST,NL,5049
ST,KI,3865
ST,BB,3088
ST,EG,876
ST,DE,1820
ST,LC,9456
ST,EC,1913
ST,HT,14403
ST,LT,901
ST,CH,16137
ST,CA,727
ST,ET,3263
ST,KW,1041
ST,MR,16371
ST,MD,782
ST,AR,1125
ST,NE,11931
ST,CL,891
ST,MK,1311
ST,BD,917
ST,SC,6122
ST,JM,8833
ST,ID,896
ST,BZ,4321
ST,NG,14457
ST,MV,1097
ST,ML,20657
ST,CF,22689
ST,BE,10617
ST,PA,2487
ST,CR,1586
ST,OM,1716
ST,LB,7950
ST,SB,11412
ST,CO,1975
ST,IE,1337
ST,MT,2460
ST,KM,17657
ST,IS,1610
ST,PK,1169
PL,ES,3559
PL,AM,2609
PL,DZ,1085
PL,MN,1041
PL,CA,2133
PL,DK,16844
PL,ME,4057
PL,IT,4850
PL,AE,1423
PL,NZ,1260
PL,NP,785
PL,GD,773
PL,MD,7207
PL,HR,4015
PL,MU,734
PL,EE,4745
PL,LU,14174
PL,CF,718
PL,LB,934
PL,MK,2951
PL,GE,10764
PL,CH,15906
PL,KZ,964
PL,BY,17339
PL,LT,7891
PL,BE,14680
PL,AL,1720
PL,GM,2624
PL,MV,740
PL,AU,1872
PL,AZ,2296
PL,BG,4424
PL,CZ,9599
PL,MT,13262
PL,BH,800
PL,LV,6190
PL,AT,18001
HU,FI,7654
HU,GR,5534
HU,ES,4345
HU,AG,1306
HU,BA,5026
HU,HK,882
HU,AE,2428
HU,EE,6039
HU,FR,3161
HU,GD,1308
HU,DK,13082
HU,DZ,1121
HU,BB,1365
HU,AL,5045
HU,CV,1712
HU,BJ,1720
HU,GM,2259
HU,BS,702
HU,GH,1145
HU,BY,2971
HU,AM,1049
HU,AU,3149
HU,GB,20536
HU,CR,862
HU,EG,715
HU,HR,13042
HU,CA,4104
HU,CY,13484
HU,BE,8962
HU,AZ,3040
HU,GE,2205
HU,BG,6097
HU,CZ,12599
HU,BH,1014
PK,PH,4330
PK,FJ,2057
PK,IN,4112
PK,BO,733
PK,CM,1714
PK,BA,4759
PK,BS,1012
PK,BR,893
PK,CY,15923
PK,NI,1505
PK,ES,2573
PK,FI,761
PK,GR,18052
PK,KI,1894
PK,JO,2913
PK,KE,4045
PK,GT,729
PK,MW,2289
PK,GN,2208
PK,MG,2162
PK,BB,747
PK,DK,1381
PK,MY,8448
PK,HK,2911
PK,MM,857
PK,LY,2236
PK,FR,1559
PK,LK,2727
PK,GD,1128
PK,AG,1103
PK,DZ,2342
PK,PE,698
PK,LS,2179
PK,BT,1282
PK,MR,2353
PK,KG,3157
PK,MN,887
PK,MA,3358
PK,AL,1031
PK,CR,883
PK,BF,1772
PK,CA,2812
PK,ME,778
PK,NP,2188
PK,GA,1214
PK,BW,2123
PK,ET,1975
PK,ID,3358
PK,EG,2798
PK,NO,2125
PK,DE,1917
PK,JM,1997
PK,NZ,1070
PK,BI,2067
PK,CG,1926
PK,HT,1725
PK,BY,1307
PK,NL,925
MY,KE,952
MY,FI,791
MY,GR,1381
MY,FJ,1520
